,ProductName,spacyProcessedReviews,finalprocessed
0,Avene Cicalfate+ Restorative Protective Cream 100ml - Multi-purpose Repair cream,"['skin cream', 'soothing skin recovery cream', 'dry skin', 'sensitive dry skin', 'sensitive skin', 'skin', 'skins', 'skin avene', 'winter skin', 'red skin', 'skin irritations', 'dry facial skin', 'dry irritated skin', 'damaged dry skin', 'skin burns', 'dry skin wounds', 'irritated skin', 'rough dry skin', 'healthy skin', 'clear skin']","['dry skin', 'redness prone skin', 'smoothen skin', 'sensitive skin', 'allergic skin', 'refresh', 'aging skin']"
2,Avene Thermal Spring Water 300ml - Mist for Sensitive skin,"['skin care products', 'sensitive skin spring water', 'good skin', 'sensitive skin', 'dry skin', 'skin', 'skins', 'summer skin', 'skin irritation', 'skin irritations', 'prone skin', 'skin feeling', 'irritated skin', 'work skin', 'skin issues', 'healthy skin', 'itchy skin', 'oily skin', 'hypersensitive skin', 'moisturising skin']","['oily skin', 'dry skin', 'sensitive skin', 'allergic skin', 'refresh']"
3,Avene XeraCalm A.D Lipid-Replenishing Balm 400ml,"['sensitive skin skin issues', 'dry skin', 'sensitive dry skin', 'skin face', 'eczema prone skin', 'sensitive skin', 'sensitive eczema prone skin', 'skin', 'dry itchy skin', 'parched dry skin', 'prone skin', 'acne dry sensitive skin', 'skin dryness', 'itchy skin', 'healthy skin', 'itchy sensitive skin', 'dewy skin', 'moisturized skin', 'crepe skin', 'sensitive reactive skin']","['dry skin', 'acne skin', 'sensitive skin', 'allergic skin', 'refresh']"
4,La Roche Posay Anthelios Invisible Fluid SPF 50+ 50ml,"['greasy skin', 'sensitive skin', 't irritate sensitive skin', 'other skin', 'skin', 'oily skin', 'skin light', 'happy skin', 'combination skin', 'skin community', 'skin types', 'dry skin', 'kids skin', 'healthy skin', 'similar skin', 'fair skin', 'skin cancer', 'sensitive combination skin', 'atopic skin', 'sensitive skin types']","['oily skin', 'dry skin', 'tone evening skin', 'Combination skin', 'sensitive skin', 'allergic skin', 'refresh']"
5,La Roche Posay Cicaplast Baume B5+ 100ml,"['dry skin', 'dry sensitive skin', 'skin', 'irritated skin', 'sensitive skin', 'skin dryness', 'sore dry irritated skin', 'damaged skin', 'skin comfort', 'skin issues', 'rough skin', 'oily skin', 'compromised skin', 'skin folds', 'sunburnt skin', 'skin feeling', 'harsh skin treatments', 'cracked winter skin', 'drier skin types', 'untreated skin size']","['oily skin', 'dry skin', 'sensitive skin', 'protect skin', 'allergic skin', 'aging skin']"
6,La Roche Posay Cicaplast Baume B5+ 40ml,"['post procedure skin skin', 'skin products', 'dry skin', 'skin', 'sensitive skin', 'skin hydration', 'skin recovery', 'agree skin', 'skin health', 'conbination skin', 'different skin care', 'dry skin cicaplast baume b5 balm cream', 'skin barrier benefits vitamin b5', 'natural skin renewal madecassoside', 'optimal skin moisture barrier recovery', 'this multi purpose dry skin cream', 'really dry skin', 'very dry skin', 'the skin moisture barrier', 'vitamin b5 panthenol panthenol']","['dry skin', 'refresh', 'sensitive skin', 'hydrate skin']"
7,La Roche Posay Cicaplast Mask B5 Sheet Mask 25g,"['sheet mask', 'sheet masks', 'face masks', 'soothing sheet mask', 'dry skin', 'sensitive skin', 'dry sensitive skin', 'sensitive dry skin', 'mask', 'masks', 'most sheet masks', 'many sheet masks', 'hydrating mask', 'skin', 'cicaplast b5 sheet mask', 'softer skin', 'other masks', 'sensitive skin ingredients', 'skin irritations', 'normal masks']","['dry skin', 'redness prone skin', 'mask', 'smoothen skin', 'sensitive skin', 'hydrate skin', 'allergic skin']"
8,La Roche Posay Effaclar Duo Plus 40ml,"['skin clearing product', 'skin smooth great product', 'overall good product skin', 'amazing skin care product', 'skin', 'looking skin', 'skin texture', 'oily skin', 'blemish prone skin great product', 'smooth skin', 'sensitive skin', 'prone skin', 'clearing skin', 'clear skin', 'clearer skin', 'dry skin', 'combination skin', 'greasy skin', 'new skin', 'skin improvement']","['oily skin', 'dry skin', 'acne skin', 'Combination skin', 'smoothen skin', 'sensitive skin']"
9,La Roche Posay Effaclar Foaming Gel 400ml,"['combination skin skin', 'skin products', 'oily skin', 'oily skins', 'wonderful skin products', 'oily skin specific products', 'skin', 'oil skin', 'oily combination skin', 'sensitive skin', 'sensitive skins', 'prone skin', 'dry skin', 'oily skin doesn', 'combination skin', 'combinations skin', 'clear skin', 'good skin texture', 'skin care', 'oily acne prone skin']","['oily skin', 'dry skin', 'acne skin', 'Combination skin', 'sensitive skin']"
11,La Roche Posay Retinol B3 Anti-Ageing Serum 30ml,"['product skin', 'serum skin', 'skin community retinol', 'great skin', 'night skin', 'skin', 'sensitive skin', 'softer skin', 'skin texture', 'using retinol', 'irritation skin', 'skin irritation', 'dry skin', 'new skin', 'ageing skin', 'aging skin', 'skin tone', 'skin community', 'skin care', 'smoothed skin']","['dry skin', 'tone evening skin', 'smoothen skin', 'sensitive skin', 'allergic skin', 'aging skin']"
12,La Roche-Posay Anthelios XL Dry Touch SPF50+ Sunscreen For Oily Skin 50ml,"['oily skin', 'oily combination skin', 'sensitive skin doesn t', 'sensitive skin', 'super oily skin', 'dry skin', 'skin', 'oily skin fantastic cream', 'dry sensitive skin', 'combination skin', 'oil skin', 'skin oil', 'skin community', 'darker skin', 'acne prone oily skin', 'oily acne prone skin', 'normal skin', 'fair skin', 'fairer skin', 'oily spot prone skin']","['oily skin', 'dry skin', 'acne skin', 'tone evening skin', 'Combination skin', 'sensitive skin']"
13,La Roche-Posay Cicaplast Lip Barrier Balm 7.5ml,"['cicaplast lips hydrationrestore lip balm', 'lip balm', 'lip balms', 'dry lips', 'best lip balm', 'lip', 'lips', 'other lip balms', 'better lip balm', 'most lip balms', 'ordinary lip balm', 'luxury lip balms', 'lush lip balms', 'chapped lips', 'dry sensitive lips', 'dry peeling lips', 'cicaplast lips', 'such dry lips', 'winter lips', 'lip creams']","['lip balm', 'dry skin', 'sensitive skin', 'hydrate skin']"
14,La Roche-Posay Effaclar Purifying Foaming Gel Anti-Acne Cleanser 200mL,"['combination skin skin', 'skin products', 'skin cleansers', 'oily skin good product', 'wonderful skin products', 'oily skin', 'oily skins', 'oily skin specific products', 'skin', 'oil skin', 'sensitive skin', 'sensitive skins', 'prone skin', 'dry skin', 'acne skin', 'oily combination skin', 'oily skin doesn', 'clear skin', 'combination skin', 'combinations skin']","['oily skin', 'dry skin', 'acne skin', 'Combination skin', 'sensitive skin', 'refresh']"
15,La Roche-Posay Hyalu B5 Hyaluronic Acid Anti-Ageing Serum 30ml,"['dry skin skin', 'skin levae skin', 'skin care products', 'other skin care product', 'anti aging skin products', 'skin', 'skins', 'dry skin', 'dry face skin', 'hydrated skin', 'soft skin', 'sensitive skin', 'sensitive skins', 'skin texture', 'skin moisture', 'skin hydration', 'skin care', 'better skin', 'skin feeling', 'application skin']","['dry skin', 'smoothen skin', 'sensitive skin', 'hydrate skin', 'aging skin']"
16,La Roche-Posay Redermic Vitamin C10 Serum 30ml,"['skin texture skin tone', 'great product skin', 'other skin products', 'skin care products', 'less skin products', 'face skin', 'youthful skin vitamin c', 'good skin', 'skin', 'best affordable vitamin c skin', 'skin texture', 'sensitive skin', 'sensitive skins', 'smooth skin', 'brighter skin', 'dry skin', 'skin tone', 'skin care', 'skin radiance', 'oily skin']","['oily skin', 'dry skin', 'tone evening skin', 'smoothen skin', 'sensitive skin', 'aging skin']"
18,La Roche-Posay Toleriane Caring Wash Cleanser 200ml,"['dry sensitive skin', 'sensitive dry skin', 'sensitive skin', 'dry skin', 'skin', 'dry skin types', 'sensitive skin toleriane caring face wash', 'dry skin doesn t', 'skin irritations', 'normal skin', 'fresh clean skin', 'fresh soft skin', 'acne prone sensitive skin', 'painful burning skin', 'atopic skin vitamin b5 panthenol', 'gentle face wash makeup remover', 'multiple gentle cleansers', 'hot great product', 'product', 'products']","['dry skin', 'acne skin', 'smoothen skin', 'face wash', 'sensitive skin', 'makeup removal', 'allergic skin', 'refresh']"
